author,birth_death
Catherine Trotter Cockburn,(1679–1749)
Cedric Robinson,(1940-2016)
Celsus of Alexandria,(2nd century)
"Cesare, Marquis of Beccaria",(1738–1794)
Ch'en Hsien-chang,(1428–1500)
Ch'ien Mu,(1895–1990)
Chanakya,(321–296 BC)
Chang Hsueh-ch'eng,(1738–1801)
Chang Tsai,(1020–1077)
Charles B. Martin,(1924–2008)
Charles Babbage,(1791–1871)
Charles Batteux,(1713–1780)
Charles Bernard Renouvier,(1815–1903)
Charles Blount,(1654–1693)
Charles Bonnet,(1720–1793)
Charles Darwin,(1809–1882)
Charles Fourier,(1772–1837)
Charles Hartshorne,(1897–2000)
Charles Leslie Stevenson,(1908–1979)
Charles Sanders Peirce,(1839–1914)
Charles Secrétan,(1815–1895)
Charles Taylor,(born 1931)
Chauncey Wright,(1830–1875)
Cheng Hao,(1032–1085)
Cheng Hsuan,(127–200)
Cheng Yi,(1033–1107)
Chia Yi,(201–169 BC)
Chiao Hung,(1540–1620)
Chih Tun,(314–366)
Chou Tun-Yi,(1017–1073)
Christiaan Huygens,(1629–1695)
Christian August Crusius,(1715–1775)
Christian Friedrich Hebbel,(1813–1863)
Christian Garve,(1742–1798)
Christian Hermann Weisse,(1801–1866)
Christian Thomasius,(1655–1728)
Christian Wolff,(1679–1754)
Christian von Ehrenfels,(1856–1932)
Christine de Pizan,(c. 1365 – c. 1430)
Christoph Friedrich Nicolai,(1733–1811)
Christopher Jacob Boström,(1797–1866)
Christopher Peacocke,(born 1950)
Chrysippus,(279–207 BC)
Cicero,(106 – 43 BC)
Clarembald of Arras,(1110–1187)
Clarence Irving Lewis,(1883–1964)
Claude Adrien Helvétius,(1715–1771)
Claude Bernard,(1813–1878)
Claude Buffier,(1661–1737)
"Claude Henri de Rouvroy, Comte de Saint-Simon",(1760–1825)
"Claude Henri de Rouvroy, Comte de Saint-Simon",(1760–1825)
Claude Lefort,(1924–2010)
Claude Lévi-Strauss,(1908–2009)
Claudia Card,(1940–2015)
Cleanthes,(301–232 BC)
Clement of Alexandria,(2nd–3rd century)
Cleomedes,(2nd century)
Colin McGinn,(born 1950)
Colin Wilson,(1931–2013)
Confucius,(551 – 479 BC)
Constance Jones,(1848–1922)
Conyers Middleton,(1683–1750)
Cornel West,(born 1953)
Cornelius Castoriadis,(1922–1997)
Costanzo Preve,(1943–2013)
Cotton Mather,(1663–1728)
Crates of Thebes,(c. 365 – c. 285 BC)
Cratylus,(c. 400 BC)
Crispin Sartwell,(born 1958)
Crispin Wright,(born 1942)
Curt Ducasse,(1881–1969)
Cyrano de Bergerac,(1619–1655)
D. Hugh Mellor,(1938–2020)
Dagfinn Føllesdal,(born 1932)
Damaris Cudworth Masham,(1659–1708)
Damascius,(c. 462–540)
Daniel Dennett,(born 1942)
Daniel Raymond,(1786–1849)
Dante Alighieri,(1265–1321)
Dariush Shayegan,(1935–2018)
David Baumgardt,(1890–1963)
David Benatar,(born 1966)
David Bohm,(1917–1992)
David Fordyce,(1711–1751)
David Friedrich Strauss,(1808–1874)
David Gauthier,(born 1932)
David H.M. Brooks,(1950–1996)
David Hartley,(1705–1757)
David Hilbert,(1862–1943)
David Hume,(1711–1776)
David Ibn Merwan Al-Mukammas,(died 937)
David Kaplan,(born 1933)
David Kellogg Lewis,(1941–2001)
David Malet Armstrong,(1926–2014)
David Papineau,(born 1947)
David Pears,(1921–2009)
David Ricardo,(1772–1823)
David Stove,(1927–1994)
David Sztybel,(born 1967)
David Walter Hamlyn,(1924–2012)
David Wiggins,(born 1933)
David of Dinant,(12th century)
David the Invincible,(late 6th century)
Debendranath Tagore,(1817–1905)
Democritus,(460–370 BC)
Denis Diderot,(1713–1784)
Denys the Carthusian,(1402–1471)
Derek Parfit,(1942–2017)
Desiderius Erasmus,(1466–1536)
Dewi Zephaniah Phillips,(1934–2006)
