author,birth_death
Seneca the Younger,(c. 4 BC–AD 65)
Sengzhao,(384–414)
Sergei Iosifovich Hessen,(1887–1950)
Sergei Nikolaevich Bulgakov,(1871–1944)
Sergey Nechayev,(1847–1882)
Sergio Bagú,(1911–2002)
Sextus Empiricus,(2nd/3rd century)
Shadworth Hodgson,(1832–1912)
Shah Wali Allah,(1703–1762)
Shahab al-Din Yahya ibn Habash Suhrawardi,(1154–1191)
Shang Yang,(died 338 BC)
Shantideva,(8th century)
Shao Yung,(1011–1077)
Shen Buhai,(died 337 BC)
Shen Dao,(c. 350 – 275 BC)
Shinran,(1173–1261)
Shri Madhvacharya,(1238–1317)
Shriharsha,(12th c.)
Siddhartha Gautama,(ca. 563–483 BC)
Sidney Hook,(1902–1989)
Sigerus of Brabant,(1240–1284)
Sigmund Freud,(1856–1939)
Simeon ben Zemah Duran,(1361–1444)
Simon Blackburn,(born 1944)
Simon Foucher,(1644–1696)
Simon of Faversham,(c. 1260–1306)
Simone Weil,(1909–1943)
Simone de Beauvoir,(1908–1986)
Simplicius of Cilicia,(early 6th century)
Sir William Hamilton,(1788–1856)
Slavoj Žižek,(born 1949)
Socrates,(470–399 BC)
Solomon Ibn Gabirol,(1021–1058)
Sophie de Condorcet,(1764–1822)
Speusippus,(410–339 BC)
Sri Aurobindo,(1872–1950)
Stanisław Ignacy Witkiewicz,(1885–1939)
Stanisław Leśniewski,(1886–1939)
Stanisław Staszic,(1755–1826)
Stanley Cavell,(1926–2018)
Stephen Stich,(born 1944)
Stilpo,(c. 360 – c. 280 BC)
Strato of Lampsacus,(c. 340 – c. 268 BC)
Stuart Hampshire,(1914–2004)
Sun Tzu,(c. 5th century BC)
Sun Yat-sen,(1866–1925)
Susan Haack,(born 1945)
Susan Mendus,(born 1951)
Susanne Langer,(1895–1985)
Svetozar Marković,(1846–1875)
Swami Vivekananda,(1863–1902)
Sydney Shoemaker,(born 1931)
Syed Zafarul Hasan,(1885–1949)
Syrianus,(5th century)
Søren Kierkegaard,(1813–1855)
T'an Ssu-t'ung,(1864–1898)
T'ang Chun-i,(1909–1978)
T. S. Eliot,(1888–1965)
Tadeusz Kotarbiński,(1886–1981)
Tai Chen,(1724–1777)
Tanabe Hajime,(1885–1962)
Tasan Chông Yagyong,(1762–1836)
Terence Irwin,(born 1947)
Teresa of Avila,(1515–1582)
Tertullian,(c. 160 – c. 220)
Thales,(c. 635 – 543 BC)
Themistius,(317–387)
Theodor Adorno,(1903–1969)
Theodor Lipps,(1851–1914)
Theodore Parker,(1810–1860)
Theodoric of Freiberg,( c.1250 – c.1311)
Theodorus of Cyrene,(c. 465 – 398 BC)
Theophrastus,(372–287 BC)
Thierry of Chartres,(fl. c. 1130–1150)
Thom Brooks,(born 1973)
Thomas Aquinas,(1225–1274)
Thomas Bradwardine,(c. 1290–1349)
Thomas Brown,(1778–1820)
Thomas Cajetan,(1469–1534)
Thomas Carlyle,(1795–1881)
Thomas Chubb,(1679–1747)
Thomas Henry Huxley,(1825–1895)
Thomas Hill Green,(1836–1882)
Thomas Hobbes,(1588–1679)
Thomas Jefferson,(1743–1826)
Thomas Malthus,(1766–1834)
Thomas More,(1478–1535)
Thomas Morgan,(died 1743)
Thomas Nagel,(born 1937)
Thomas Paine,(1737–1809)
Thomas Percival,(1740–1804)
Thomas Reid,(1710–1796)
Thomas Samuel Kuhn,(1922–1996)
Thomas Scanlon,(born 1940)
Thomas Spencer Baynes,(1823–1887)
Thomas White,(1593–1676)
Thomas of Erfurt,(14th century)
Thomas of York,(13th century)
Thomas à Kempis,(1380–1471)
Thome H. Fang,(1899–1976)
Thoralf Skolem,(1887–1963)
Thrasymachus,(5th century BC)
Thucydides,(c. 460 – c. 400 BC)
Théodore Simon Jouffroy,(1796–1842)
Timaeus of Locri,(5th century BC)
Timon of Phlius,(c. 300 BC)
Timothy L.S. Sprigge,(1932–2007)
Timothy Williamson,(born 1955)
Toju Nakae,(1608–1648)
Tominaga Nakamoto,(1715–1746)
Tommaso Campanella,(1568–1639)
Tomáš Masaryk,(1850–1937)
Tyler Burge,(born 1946)
Tzvetan Todorov,(1939–2017)
Udayana,(11th century)
Uddyotakara,(6th century)
Uisang,(625–702)
Ulrich of Strasbourg,(1220–1277)
Umar Khayyam,(1048–1131)
Umberto Eco,(1932–2016)
Uppaluri Gopala Krishnamurti,(1918–2007)
Urbanus Rhegius,(1489–1541)
Uriel da Costa,(1585–1640)
Valentin Feldman,(1909–1942)
Valentin Ferdinandovich Asmus,(1894–1975)
Valentin Voloshinov,(1895–1936)
Valentinius,(c. 100 – c. 153)
Valentino Annibale Pastore,(1868–1956)
Vallabhacharya,(1479–1531)
Vasily Rozanov,(1856–1919)
Vasily Rozanov,(1856–1919)
Vasubandhu,(4th century)
Vatsyayana,(5th century)
Vauvenargues,(1715–1747)
Victor Cousin,(1792–1867)
Victor Serge,(1890–1947)
"Victoria, Lady Welby",(1837–1912)
Vilfredo Pareto,(1848–1923)
Vincent Descombes,(born 1943)
Vincenzo Gioberti,(1801–1852)
Virgil Aldrich,(1903–1998)
Virginia Held,(born 1929)
Vissarion Belinsky,(1811–1848)
Vital Du Four,(1260–1327)
Vladimir Jankélévitch,(1903–1985)
Vladimir Lenin,(1870–1924)
Vladimir Solovyov,(1853–1900)
Voltaire,(1694–1778)
Vyacheslav Ivanovich Ivanov,(1866–1949)
W. E. B. Du Bois,(1868–1963)
W. V. O. Quine,(1908–2000)
Walter Benjamin,(1892–1940)
Walter Burley,(c. 1275–c. 1345)
Walter Charleton,(1619–1707)
Walter Chatton,(1290–1343)
Walter Kaufmann,(1921–1980)
Walter Pater,(1839–1904)
Walter Terence Stace,(1886–1967)
Wang Bi,(226–249)
Wang Ch'ung,(27–97)
Wang Fuzhi,(1619–1692)
Wang Yangming,(1472–1529)
Watsuji Tetsuro,(1889–1960)
Werner Heisenberg,(1901–1976)
Wesley Newcomb Hohfeld,(1879–1918)
Wesley Salmon,(1925–2001)
Wilfrid Sellars,(1912–1989)
Wilhelm Dilthey,(1833–1911)
Wilhelm Ostwald,(1853–1932)
Wilhelm Reich,(1897–1957)
Wilhelm Windelband,(1848–1915)
Wilhelm Wundt,(1832–1920)
Wilhelm von Humboldt,(1767–1835)
Will Durant,(1885–1981)
William Alston,(1921–2009)
William Blackstone,(1723–1780)
William Blake,(1757–1827)
William Calvert Kneale,(1906–1990)
William Chillingworth,(1602–1644)
William Crathorn,(14th century)
William David Ross,(1877–1971)
William Ellery Channing,(1780–1842)
William Ernest Hocking,(1873–1966)
William Ernest Johnson,(1858–1931)
William Godwin,(1756–1836)
William Harvey,(1578–1657)
William Hazlitt,(1778–1830)
William James,(1842–1910)
William K. Frankena,(1908–1994)
William Kingdon Clifford,(1845–1879)
William Law,(1686–1761)
William Lycan,(born 1945)
William McDougall,(1871–1938)
William Paley,(1743–1805)
William Penbygull,(died 1420)
William Pepperell Montague,(1873–1953)
William Ralph Inge,(1860–1954)
William Ritchie Sorley,(1855–1935)
William S. Sahakian,(1922–1986)
William Stanley Jevons,(1835–1882)
William Temple,(1881–1944)
William Thompson,(1775–1833)
William Torrey Harris,(1835–1909)
William Whewell,(1794–1866)
William Wollaston,(1659–1724)
William of Alnwick,(1270–1333)
"William of Auvergne, Bishop of Paris",(1180–1249)
William of Auxerre,(died 1231)
William of Champeaux,(c. 1070 – 1121)
William of Conches,(c. 1080 – 1154)
William of Heytesbury,(1313–1373)
William of Moerbeke,(c. 1215 – 1286)
William of Ockham,(c. 1285–1349)
William of Shyreswood,(1190–1249)
Wolfgang Köhler,(1887–1967)
Wolfhart Pannenberg,(1928–2014)
Wonchuk,(613–696)
Wonhyo Daisa,(617–686)
Woo Tsin-hang,(1865–1953)
Władysław Tatarkiewicz,(1886–1980)
Xavier Zubiri,(1889–1983)
Xenocrates,(396–314 BC)
"Xenophanes of Colophon,",(570–480 BC)
Xenophon,(427–355 BC)
Xun Zi,(c. 310–237 BC)
Yahya ibn Adi,(893–974)
Yajnavalkya,(c. 1800 BC)
Yang Chu,(370–319 BC)
Yang Xiong,(53 BC–AD 18)
Yehuda Halevi,(c. 1085–1141)
Yen Yuan,(1635–1704)
Yeshayahu Leibowitz,(1903–1994)
Yi Hwang,(1501–1570)
Yi I,(1536–1584)
Yi Kan,(1677–1727)
Yohanan ben Isaac Alemanno,(1433–1504)
Zeami Motokiyo,(c. 1363 – c. 1443)
Zeno of Citium,(333–264 BC)
Zeno of Elea,(c. 495 – c. 430 BC)
Zeno of Sidon,(1st century BC)
Zeno of Tarsus,(fl. 200 BC)
Zhiyi,(538–597)
Zhou Guoping,(born 1945)
Zhu Xi,(1130–1200)
Zhuang Zi,(circa 300 BC)
Zongmi,(780–841)
Zou Yan,(3rd century BC)
Ágnes Heller,(1929–2019)
Álvaro Vieira Pinto,(1909–1987)
Ángel Cappelletti,(1927–1995)
Émile Durkheim,(1858–1917)
Émile Littré,(1801–1881)
Émilie du Châtelet,(1706–1749)
Éric Weil,(1904–1977)
Étienne Balibar,(born 1942)
Étienne Bonnot de Condillac,(1715–1780)
Étienne Gilson,(1884–1978)
Śāntarakṣita,(725–788)
