author,birth,death
Gaston Miron,1928,1996
Gaston Paris,1839,1903
Gautier de Coinci,1178,1236
Gauvain Quiéret,1433,1470
Gaétan Soucy,1958,
Gaël Octavia,,
Gaëlle Bélem,1984,
Geneviève Fauconnier,1886,1969
Geneviève Ruxton,,
Geoffroi de Villehardouin,xiie siècle,xiiie siècle
George Sand,1804,1876
George de Peyrebrune,1841,1917
Georges Ancey,1860,1917
Georges Arnaud,1917,
Georges Bataille,1897,1962
Georges Bernanos,1888,1948
Georges Bugnet,1879,1981
Georges Chastelain,1405,1475
Georges Courteline,1858,1929
Georges Duby,1919,1996
Georges Duhamel,1884,1966
Georges Dumézil,1898,1986
Georges Feydeau,1862,1921
Georges Finaud,1896,1976
Georges Friedenkraft,1945,
Georges Hyvernaud,1902,1983
Georges Limbour,1900,1970
Georges Ohnet,,
Georges Perec,1936,1982
Georges Piroué,1920,2005
Georges Saint-Bonnet,1899,1963
Georges Schéhadé,1905,1989
Georges Simenon,1903,1989
Georges de Scudéry,1601,1667
Georges-Emmanuel Clancier,1914,
Georges-Jean Arnaud,1928,
Georges-Louis Leclerc de Buffon,1707,1788
Georges-Noël Jeandrieu,1942,
Georges-Émile Lapalme,1907,1985
Germaine Acremant,1889,1986
Germaine Guèvremont,1893,1968
Germaine de Staël,1766,1817
Gilbert Bordes,1948,
Gilbert Cesbron,1913,1979
Gilbert Ponaman,1950,
Gilles Marcotte,1925,
Gilles Paris,,
Gilles Perrault,1931,
Gilles Sebhan,1967,
Gilles Vigneault,1928,
Gilles de Gouberville,1521,1578
Gisèle Cavali,1955,
Giulio-Enrico Pisani,1943,
Gottfried Wilhelm Leibniz,1646,1716
Gratien Gélinas,1909,1999
Grégoire Polet,1978,
Guillaume Alexis,1425,1486
Guillaume Apollinaire,1880,1918
Guillaume Benech,2000,
Guillaume Budé,1468,1540
Guillaume Dubois,1460,1525
Guillaume Musso,1974,
Guillaume de Lorris,1200,1238
Guillaume de Machaut,1300,1377
Guillemette Resplandy,xxe siècle,
Gustave Aimard,1818,1883
Gustave Flaubert,1821,1880
Gustave Kahn,1859,1936
Gustave Lanctot,1883,1975
Gustave d'Eichthal,1804,1886
Guy Charmasson,1947,
Guy Cloutier,1949,
Guy Darol,1954,
Guy Frégault,1918,1977
